stateid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
AP,48,124,11,29
AR,58,142,14,33
AS,5,91,1,25
BR,42,120,10,28
CH,53,120,13,28
CT,52,113,13,27
DL,69,,17,
DN,45,117,11,28
GA,3,,1,
GJ,20,118,5,28
HP,75,122,18,29
HR,74,119,17,28
JH,50,119,13,28
JK,53,120,13,28
KA,61,121,14,29
KL,58,121,15,29
LA,59,116,17,28
MH,53,114,13,27
ML,60,125,14,30
MN,3,91,1,25
MP,77,121,13,28
MZ,54,145,13,34
NL,64,124,15,30
OR,50,122,13,29
PB,46,122,11,28
PY,49,123,13,29
RJ,75,121,18,28
TG,9,,2,
TN,32,123,8,29
TR,52,124,13,30
UP,54,115,13,28
UT,54,121,13,28
WB,69,123,16,29
