stateid,vaccinateddose1ratio,vaccinateddose2ratio
DL,0.038602470666295526,0.0190682704924922
WB,0.20862308830738469,0.0775207840517752
AP,0.2189166576230436,0.07667477445850374
UP,0.22323228773942447,0.04256524876008534
BR,0.2434018192526124,0.0463146338176689
ML,0.25967031459552414,0.07123657137156125
JH,0.2672230869439296,0.06448045833692806
TN,0.27530484622859736,0.06241791242134292
PB,0.2859796467173489,0.08587733747107143
MH,0.29883350675816694,0.10563309861870326
NL,0.3231631810329229,0.08488240092757046
MN,0.34180686702192103,0.07911845182110475
AS,0.34709357712224254,0.07568092958771215
OR,0.35188079025081537,0.10541544812103468
CT,0.3560993342075485,0.10982494635586697
HR,0.3955967509881679,0.12142853930869943
AR,0.4019680182579367,0.11671810985837525
TR,0.4032167847014508,0.14640396067739145
RJ,0.4218140962134556,0.13221046892724922
KA,0.42453860237392743,0.1253405315306021
MP,0.43700426105737344,0.08417446786075924
GJ,0.4375658466293971,0.1367280958347703
KL,0.4547971998255047,0.17525801680120262
JK,0.4583020965446809,0.12889052508264293
PY,0.47252100039023903,0.12186997426986433
UT,0.5122258011170012,0.158351651925207
MZ,0.6016272240581987,0.1984048574287782
CH,0.695039082855654,0.23151357240987255
HP,0.731194612593709,0.2255150407845932
GA,0.7629624043138882,0.22619048435255684
DN,1.0194631284116698,0.1540507295265744
